,Time,Activation,Underlying Relationship,Observations,Dimensions,Depth,Iteration
0,0.00545048713684082,Leaky_ReLU,exp,100,1,1,2
0,0.005578517913818359,Leaky_ReLU,exp,100,1,1,3
0,0.006578207015991211,Leaky_ReLU,exp,100,1,1,4
0,0.00844264030456543,ELU,exp,100,1,1,0
0,0.011729955673217773,ELU,exp,100,1,1,1
0,0.006681919097900391,ELU,exp,100,1,1,2
0,0.005493879318237305,ELU,exp,100,1,1,3
0,0.005694150924682617,ELU,exp,100,1,1,4
0,0.006573677062988281,PReLU,exp,100,1,1,0
0,0.006628990173339844,PReLU,exp,100,1,1,1
0,0.006536722183227539,PReLU,exp,100,1,1,2
0,0.006736278533935547,PReLU,exp,100,1,1,3
0,0.006518125534057617,PReLU,exp,100,1,1,4
0,0.006853342056274414,SELU,exp,100,1,1,0
0,0.00667119026184082,SELU,exp,100,1,1,1
0,0.006620645523071289,SELU,exp,100,1,1,2
0,0.0069310665130615234,SELU,exp,100,1,1,3
0,0.0055332183837890625,SELU,exp,100,1,1,4
0,0.011438131332397461,ALReLU,exp,100,1,1,0
0,0.011001348495483398,ALReLU,exp,100,1,1,1
0,0.01699972152709961,ALReLU,exp,100,1,1,2
0,0.014865636825561523,ALReLU,exp,100,1,1,3
0,0.017731428146362305,ALReLU,exp,100,1,1,4
0,0.017227649688720703,ReLU,exp,100,1,3,0
0,0.022675514221191406,ReLU,exp,100,1,3,1
0,0.022141218185424805,ReLU,exp,100,1,3,2
0,0.01320958137512207,ReLU,exp,100,1,3,3
0,0.025000810623168945,ReLU,exp,100,1,3,4
0,0.02561020851135254,Leaky_ReLU,exp,100,1,3,0
0,0.02332282066345215,Leaky_ReLU,exp,100,1,3,1
0,0.024367570877075195,Leaky_ReLU,exp,100,1,3,2
0,0.018624544143676758,Leaky_ReLU,exp,100,1,3,3
0,0.009972333908081055,Leaky_ReLU,exp,100,1,3,4
0,0.01087808609008789,ELU,exp,100,1,3,0
0,0.010011911392211914,ELU,exp,100,1,3,1
0,0.02179694175720215,ELU,exp,100,1,3,2
0,0.022344589233398438,ELU,exp,100,1,3,3
0,0.01910257339477539,ELU,exp,100,1,3,4
0,0.03735923767089844,PReLU,exp,100,1,3,0
0,0.029708147048950195,PReLU,exp,100,1,3,1
0,0.02664017677307129,PReLU,exp,100,1,3,2
0,0.018350601196289062,PReLU,exp,100,1,3,3
0,0.016211986541748047,PReLU,exp,100,1,3,4
0,0.010197877883911133,SELU,exp,100,1,3,0
0,0.00949549674987793,SELU,exp,100,1,3,1
0,0.009136676788330078,SELU,exp,100,1,3,2
0,0.010334968566894531,SELU,exp,100,1,3,3
0,0.009476661682128906,SELU,exp,100,1,3,4
0,0.011883020401000977,ALReLU,exp,100,1,3,0
0,0.018172264099121094,ALReLU,exp,100,1,3,1
0,0.01764392852783203,ALReLU,exp,100,1,3,2
0,0.019769668579101562,ALReLU,exp,100,1,3,3
0,0.024371623992919922,ALReLU,exp,100,1,3,4
0,0.026836395263671875,ReLU,exp,100,1,10,0
0,0.05383157730102539,ReLU,exp,100,1,10,1
0,0.05513787269592285,ReLU,exp,100,1,10,2
0,0.0502467155456543,ReLU,exp,100,1,10,3
0,0.0318148136138916,ReLU,exp,100,1,10,4
0,0.04778647422790527,Leaky_ReLU,exp,100,1,10,0
0,0.02444767951965332,Leaky_ReLU,exp,100,1,10,1
0,0.024846553802490234,Leaky_ReLU,exp,100,1,10,2
0,0.03925609588623047,Leaky_ReLU,exp,100,1,10,3
0,0.04052090644836426,Leaky_ReLU,exp,100,1,10,4
0,0.03793072700500488,ELU,exp,100,1,10,0
0,0.04162192344665527,ELU,exp,100,1,10,1
0,0.03795909881591797,ELU,exp,100,1,10,2
0,0.035718441009521484,ELU,exp,100,1,10,3
0,0.0218660831451416,ELU,exp,100,1,10,4
0,0.050290584564208984,PReLU,exp,100,1,10,0
0,0.06841564178466797,PReLU,exp,100,1,10,1
0,0.03082585334777832,PReLU,exp,100,1,10,2
0,0.0298309326171875,PReLU,exp,100,1,10,3
0,0.03181624412536621,PReLU,exp,100,1,10,4
0,0.02965092658996582,SELU,exp,100,1,10,0
0,0.022281646728515625,SELU,exp,100,1,10,1
0,0.022395849227905273,SELU,exp,100,1,10,2
0,0.0306551456451416,SELU,exp,100,1,10,3
0,0.04509234428405762,SELU,exp,100,1,10,4
0,0.07901859283447266,ALReLU,exp,100,1,10,0
0,0.04739975929260254,ALReLU,exp,100,1,10,1
0,0.07677841186523438,ALReLU,exp,100,1,10,2
0,0.07898521423339844,ALReLU,exp,100,1,10,3
0,0.06675386428833008,ALReLU,exp,100,1,10,4
0,0.11005187034606934,ReLU,exp,100,1,30,0
0,0.13129734992980957,ReLU,exp,100,1,30,1
0,0.1103661060333252,ReLU,exp,100,1,30,2
0,0.10305666923522949,ReLU,exp,100,1,30,3
0,0.09241199493408203,ReLU,exp,100,1,30,4
0,0.08430743217468262,Leaky_ReLU,exp,100,1,30,0
0,0.06258249282836914,Leaky_ReLU,exp,100,1,30,1
0,0.1331925392150879,Leaky_ReLU,exp,100,1,30,2
0,0.13708281517028809,Leaky_ReLU,exp,100,1,30,3
0,0.10331130027770996,Leaky_ReLU,exp,100,1,30,4
0,0.09796404838562012,ELU,exp,100,1,30,0
0,0.05859947204589844,ELU,exp,100,1,30,1
0,0.10168075561523438,ELU,exp,100,1,30,2
0,0.10239481925964355,ELU,exp,100,1,30,3
0,0.05927395820617676,ELU,exp,100,1,30,4
0,0.15977048873901367,PReLU,exp,100,1,30,0
0,0.15811634063720703,PReLU,exp,100,1,30,1
0,0.14049935340881348,PReLU,exp,100,1,30,2
0,0.1616075038909912,PReLU,exp,100,1,30,3
0,0.14602971076965332,PReLU,exp,100,1,30,4
0,0.1318495273590088,SELU,exp,100,1,30,0
0,0.0649263858795166,SELU,exp,100,1,30,1
0,0.09290051460266113,SELU,exp,100,1,30,2
0,0.05882549285888672,SELU,exp,100,1,30,3
0,0.11773037910461426,SELU,exp,100,1,30,4
0,0.09701657295227051,ALReLU,exp,100,1,30,0
0,0.09507489204406738,ALReLU,exp,100,1,30,1
0,0.12130928039550781,ALReLU,exp,100,1,30,2
0,0.08852386474609375,ALReLU,exp,100,1,30,3
0,0.12983107566833496,ALReLU,exp,100,1,30,4
0,0.012111902236938477,ReLU,lin,100,2,1,0
0,0.011740446090698242,ReLU,lin,100,2,1,1
0,0.008773088455200195,ReLU,lin,100,2,1,2
0,0.009804964065551758,ReLU,lin,100,2,1,3
0,0.009600400924682617,ReLU,lin,100,2,1,4
0,0.011099576950073242,Leaky_ReLU,lin,100,2,1,0
0,0.010462284088134766,Leaky_ReLU,lin,100,2,1,1
0,0.016206026077270508,Leaky_ReLU,lin,100,2,1,2
0,0.008590221405029297,Leaky_ReLU,lin,100,2,1,3
0,0.008872032165527344,Leaky_ReLU,lin,100,2,1,4
0,0.009493112564086914,ELU,lin,100,2,1,0
0,0.011078596115112305,ELU,lin,100,2,1,1
0,0.012145042419433594,ELU,lin,100,2,1,2
