Average Time,Activation,Underlying Relationship,Observations,Dimensions,Depth
0.06989145278930664,Leaky_ReLU,exp,500,2,10
0.0370793342590332,ELU,exp,500,2,10
0.04486894607543945,PReLU,exp,500,2,10
0.03469491004943848,SELU,exp,500,2,10
0.05255484580993652,ALReLU,exp,500,2,10
0.0846407413482666,ReLU,exp,500,2,30
0.07891583442687988,Leaky_ReLU,exp,500,2,30
0.08394408226013184,ELU,exp,500,2,30
0.16583728790283203,PReLU,exp,500,2,30
0.08618855476379395,SELU,exp,500,2,30
0.12763690948486328,ALReLU,exp,500,2,30
0.012881040573120117,ReLU,lin,500,5,1
0.013523578643798828,Leaky_ReLU,lin,500,5,1
0.01325535774230957,ELU,lin,500,5,1
0.012234926223754883,PReLU,lin,500,5,1
0.009375333786010742,SELU,lin,500,5,1
0.013274669647216797,ALReLU,lin,500,5,1
0.019955873489379883,ReLU,lin,500,5,3
0.013924837112426758,Leaky_ReLU,lin,500,5,3
0.01667475700378418,ELU,lin,500,5,3
0.01624774932861328,PReLU,lin,500,5,3
0.015151023864746094,SELU,lin,500,5,3
0.019962072372436523,ALReLU,lin,500,5,3
0.03434610366821289,ReLU,lin,500,5,10
0.03859519958496094,Leaky_ReLU,lin,500,5,10
0.037558555603027344,ELU,lin,500,5,10
0.048423051834106445,PReLU,lin,500,5,10
0.03587508201599121,SELU,lin,500,5,10
0.05217123031616211,ALReLU,lin,500,5,10
0.1534743309020996,ReLU,lin,500,5,30
0.0952296257019043,Leaky_ReLU,lin,500,5,30
0.09539985656738281,ELU,lin,500,5,30
0.11869454383850098,PReLU,lin,500,5,30
0.10256671905517578,SELU,lin,500,5,30
0.20877456665039062,ALReLU,lin,500,5,30
0.011611223220825195,ReLU,sin,500,5,1
0.010001420974731445,Leaky_ReLU,sin,500,5,1
0.010640382766723633,ELU,sin,500,5,1
0.011379480361938477,PReLU,sin,500,5,1
0.014999628067016602,SELU,sin,500,5,1
0.014578580856323242,ALReLU,sin,500,5,1
0.014057397842407227,ReLU,sin,500,5,3
0.01685047149658203,Leaky_ReLU,sin,500,5,3
0.02059650421142578,ELU,sin,500,5,3
0.016900062561035156,PReLU,sin,500,5,3
0.015507698059082031,SELU,sin,500,5,3
0.02099752426147461,ALReLU,sin,500,5,3
0.03532814979553223,ReLU,sin,500,5,10
0.03855562210083008,Leaky_ReLU,sin,500,5,10
0.03905344009399414,ELU,sin,500,5,10
0.045389652252197266,PReLU,sin,500,5,10
0.033083438873291016,SELU,sin,500,5,10
0.048070430755615234,ALReLU,sin,500,5,10
0.12197136878967285,ReLU,sin,500,5,30
0.09015488624572754,Leaky_ReLU,sin,500,5,30
0.10052180290222168,ELU,sin,500,5,30
0.14272093772888184,PReLU,sin,500,5,30
0.08745241165161133,SELU,sin,500,5,30
0.14349889755249023,ALReLU,sin,500,5,30
0.010028600692749023,ReLU,qdr,500,5,1
0.009420633316040039,Leaky_ReLU,qdr,500,5,1
0.009723424911499023,ELU,qdr,500,5,1
0.017476558685302734,PReLU,qdr,500,5,1
0.009977102279663086,SELU,qdr,500,5,1
0.013364076614379883,ALReLU,qdr,500,5,1
0.014973163604736328,ReLU,qdr,500,5,3
0.02011871337890625,Leaky_ReLU,qdr,500,5,3
0.01905226707458496,ELU,qdr,500,5,3
0.016449451446533203,PReLU,qdr,500,5,3
0.02019476890563965,SELU,qdr,500,5,3
0.02127838134765625,ALReLU,qdr,500,5,3
0.054630279541015625,ReLU,qdr,500,5,10
0.03133130073547363,Leaky_ReLU,qdr,500,5,10
0.03313922882080078,ELU,qdr,500,5,10
0.045942068099975586,PReLU,qdr,500,5,10
0.03559374809265137,SELU,qdr,500,5,10
0.056380271911621094,ALReLU,qdr,500,5,10
0.10198307037353516,ReLU,qdr,500,5,30
0.11835694313049316,Leaky_ReLU,qdr,500,5,30
0.13002467155456543,ELU,qdr,500,5,30
0.11251235008239746,PReLU,qdr,500,5,30
0.2252647876739502,SELU,qdr,500,5,30
0.1505417823791504,ALReLU,qdr,500,5,30
0.0098724365234375,ReLU,exp,500,5,1
0.009760141372680664,Leaky_ReLU,exp,500,5,1
0.024509429931640625,ELU,exp,500,5,1
0.010611295700073242,PReLU,exp,500,5,1
0.01001119613647461,SELU,exp,500,5,1
0.012170553207397461,ALReLU,exp,500,5,1
0.014250755310058594,ReLU,exp,500,5,3
0.018579721450805664,Leaky_ReLU,exp,500,5,3
0.013332605361938477,ELU,exp,500,5,3
0.02193593978881836,PReLU,exp,500,5,3
0.015129566192626953,SELU,exp,500,5,3
0.029200315475463867,ALReLU,exp,500,5,3
0.03663897514343262,ReLU,exp,500,5,10
0.0339808464050293,Leaky_ReLU,exp,500,5,10
0.03722977638244629,ELU,exp,500,5,10
0.06257176399230957,PReLU,exp,500,5,10
0.037378549575805664,SELU,exp,500,5,10
0.05441927909851074,ALReLU,exp,500,5,10
0.0915374755859375,ReLU,exp,500,5,30
0.17754292488098145,Leaky_ReLU,exp,500,5,30
0.0920403003692627,ELU,exp,500,5,30
0.12267184257507324,PReLU,exp,500,5,30
0.09126734733581543,SELU,exp,500,5,30
0.1691451072692871,ALReLU,exp,500,5,30
